"","TRB","Reads","CPKR","Average_reads","VMR","Max_reads","Singletons","Doubletons","qD","Sample_Coverage","observed_Richness","estimated_Richness","SE_Richeness","observed_Shannon","estimated_Shannon","SE_Shannon","observed_Simpson","estimated_Simpson","SE_Simpson"
"addjurkat_112.75_0.25",159,452,351.769911504425,2.84276729559748,3.09172080728487,112,58,44,188.784,0.972,159,197.143,13.097,71.158,91.25,7.381,15.145,15.635,2.446
"addjurkat_135.3_0.3",149,453,328.918322295806,3.04026845637584,3.6000507027297,135,54,42,176.332,0.975,149,183.638,12.332,55.794,70.304,5.98,10.74,10.977,1.562
"addjurkat_157.85_0.35",139,451,308.20399113082,3.24460431654676,4.06427770959033,157,51,40,164.687,0.977,139,171.44,11.887,43.327,53.823,4.72,7.989,8.115,1.04
"addjurkat_180.4_0.4",126,451,279.379157427938,3.57936507936508,4.43829339801703,180,45,35,148.777,0.979,126,154.864,11.257,32.83,39.916,3.531,6.134,6.205,0.675
"addjurkat_202.95_0.45",116,451,257.206208425721,3.88793103448276,4.78163855993616,202,41,32,136.71,0.981,116,142.207,10.709,25.357,30.335,2.896,4.901,4.944,0.481
"addjurkat_22.55_0.05",195,451,432.372505543237,2.31282051282051,0.817732511863268,22,72,51,233.424,0.961,195,245.711,15.621,158.226,215.8,9.032,117.099,157.815,14.306
"addjurkat_225.5_0.5",106,451,235.033259423503,4.25471698113208,5.09427009693639,225,38,28,125.84,0.981,106,131.729,10.911,19.284,22.763,2.549,3.969,3.995,0.366
"addjurkat_248.05_0.55",98,452,216.814159292035,4.61224489795918,5.39123003225802,248,37,27,117.423,0.981,98,123.296,10.871,14.75,17.228,2,3.292,3.309,0.282
"addjurkat_270.6_0.6",91,453,200.883002207506,4.97802197802198,5.64731613404035,270,36,26,110.007,0.981,91,115.868,10.834,11.444,13.243,1.452,2.796,2.808,0.227
"addjurkat_293.15_0.65",78,451,172.949002217295,5.78205128205128,5.70092557329803,293,31,21,94.946,0.982,78,100.83,10.719,8.335,9.464,1.023,2.358,2.365,0.154
"addjurkat_315.7_0.7",70,452,154.867256637168,6.45714285714286,5.79656248594124,315,30,18,87.439,0.98,70,94.945,11.936,6.382,7.189,0.775,2.052,2.056,0.129
"addjurkat_338.25_0.75",61,451,135.254988913525,7.39344262295082,5.82242374950688,338,28,16,77.658,0.98,61,85.446,12.131,4.734,5.271,0.607,1.776,1.779,0.091
"addjurkat_360.8_0.8",47,451,104.212860310421,9.59574468085106,5.44339695512187,360,19,13,57.331,0.989,47,60.854,8.308,3.488,3.765,0.377,1.567,1.569,0.076
"addjurkat_383.35_0.85",39,453,86.0927152317881,11.6153846153846,5.25531702157627,383,17,13,47.69,0.992,39,50.091,7.035,2.645,2.817,0.227,1.397,1.399,0.054
"addjurkat_405.9_0.9",26,453,57.3951434878587,17.4230769230769,4.53760568546702,405,12,6,33.574,0.99,26,37.974,9.146,1.94,2.032,0.164,1.25,1.251,0.04
"addjurkat_428.45_0.95",14,452,30.9734513274336,32.2857142857143,3.52780422185789,428,6,3,17.787,0.995,14,19.987,6.467,1.402,1.436,0.083,1.115,1.115,0.023
"addjurkat_45.1_0.1",188,454,414.096916299559,2.41489361702128,1.38888640708556,45,69,51,223.962,0.965,188,234.574,14.658,134.959,181.201,8.408,64.411,74.895,11.342
"addjurkat_451_1",1,451,2.21729490022173,451,NA,451,0,0,1,1,1,1,0,1,1,0,1,1,0
"addjurkat_67.65_0.15",178,452,393.805309734513,2.53932584269663,1.96929901619666,67,65,48,211.895,0.967,178,221.913,14.239,111.031,146.882,8.417,36.653,39.799,6.981
"addjurkat_90.2_0.2",169,451,374.722838137472,2.66863905325444,2.56985576694295,90,62,47,200.852,0.97,169,209.803,13.551,89.185,116.297,7.699,22.339,23.452,4.111
"A037",201,451,445.676274944568,2.24378109452736,0.58199138220241,7,74,53,240.252,0.961,201,252.546,15.662,172.141,236.839,9.573,150.333,225,11.298
